role_id,membership_id,user_id,effective_start_date,effective_end_date
3654,142,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5475,143,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5871,144,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5359,145,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2392,146,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3935,147,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4235,148,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1145,149,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
771,150,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
928,151,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2511,152,1317,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3247,156,38,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
407,165,1430,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,168,1603,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,171,1785,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2097,174,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5470,175,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4514,176,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2274,177,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5374,178,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2381,179,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5605,180,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3868,181,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5834,182,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2557,183,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
6067,184,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1360,185,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4699,187,4,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1721,191,1553,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
1721,198,19,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
5780,205,1793,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
644,206,1793,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3935,207,1793,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,212,1519,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,224,1486,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2495,233,106,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3456,244,1737,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
2355,246,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
516,247,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4500,248,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
3736,249,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4069,254,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4742,256,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
4444,264,1068,1970-01-01T00:00:00.000+00:00,2025-03-13T04:52:59.000+00:00
